U:0,U:1,U:2,grad(U):0,grad(U):1,grad(U):2,grad(U):3,grad(U):4,grad(U):5,grad(U):6,grad(U):7,grad(U):8,Points:0,Points:1,Points:2,Point ID
0.364322,4.87419e-05,0,1.2225,-0.0331544,0,0.375,-1.2164,0,0,0,0,0.0041,0.001,0,205
0.364345,4.80465e-05,0,1.1415,-0.0350404,0,0.3795,-1.13664,0,0,0,0,0.00412,0.001,0,206
0.364367,4.73308e-05,0,1.06125,-0.0368901,0,0.38475,-1.05868,0,0,0,0,0.00414,0.001,0,207
0.364387,4.65742e-05,0,0.982501,-0.0386669,0,0.3915,-0.984296,0,0,0,0,0.00416,0.001,0,208
0.364406,4.57795e-05,0,0.911251,-0.0403631,0,0.39825,-0.913406,0,0,0,0,0.00418,0.001,0,209
0.364424,4.49657e-05,0,0.84375,-0.0420191,0,0.405,-0.844261,0,0,0,0,0.0042,0.001,0,210
0.36444,4.40987e-05,0,0.783,-0.0435424,0,0.4095,-0.780207,0,0,0,0,0.00422,0.001,0,211
0.364455,4.32157e-05,0,0.721501,-0.0450181,0,0.41325,-0.717798,0,0,0,0,0.00424,0.001,0,212
0.364469,4.23003e-05,0,0.658501,-0.0463987,0,0.4155,-0.658674,0,0,0,0,0.00426,0.001,0,213
0.364481,4.13558e-05,0,0.6,-0.0476789,0,0.42075,-0.60272,0,0,0,0,0.00428,0.001,0,214
0.364493,4.03969e-05,0,0.543751,-0.048909,0,0.4275,-0.548354,0,0,0,0,0.0043,0.001,0,215
0.364503,3.93995e-05,0,0.4965,-0.0499813,0,0.4365,-0.498558,0,0,0,0,0.00432,0.001,0,216
0.364513,3.8391e-05,0,0.45,-0.0509996,0,0.44475,-0.450224,0,0,0,0,0.00434,0.001,0,217
0.364521,3.73606e-05,0,0.405,-0.0519094,0,0.4515,-0.404812,0,0,0,0,0.00436,0.001,0,218
0.364529,3.63117e-05,0,0.3615,-0.0527091,0,0.45675,-0.362187,0,0,0,0,0.00438,0.001,0,219
0.364536,3.52537e-05,0,0.31875,-0.0534536,0,0.46125,-0.320956,0,0,0,0,0.0044,0.001,0,220
0.364541,3.41736e-05,0,0.2805,-0.0540299,0,0.4635,-0.283703,0,0,0,0,0.00442,0.001,0,221
0.36453,-3.4635e-08,0,0.165748,0.000294348,0,0.55425,-0.14142,0,0,0,0,0.01996,0.001,0,998
0.364526,-4.19606e-08,0,0.1455,0.00043384,0,0.552,-0.134866,0,0,0,0,0.01994,0.001,0,997
0.364547,3.30881e-05,0,0.24375,-0.0545499,0,0.4665,-0.247708,0,0,0,0,0.00444,0.001,0,222
0.364533,-3.04675e-08,0,0.1035,0.000148702,0,0.555,-0.145201,0,0,0,0,0.01998,0.001,0,999
0.364535,3.9464e-06,0,-0.11175,-0.033091,0,0.55875,0.111925,0,0,0,0,0.00504,0.001,0,252
0.364533,3.29837e-06,0,-0.1095,-0.0317047,0,0.55875,0.110737,0,0,0,0,0.00506,0.001,0,253
0.36453,2.68124e-06,0,-0.10725,-0.0303165,0,0.55875,0.109213,0,0,0,0,0.00508,0.001,0,254
